candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
134,40.5,0.3,67.5,66.0,20,1.4,30.0,32.5,1.1757084947589296,0.6391830709967493,-0.7741176788979385,282604.89241869305,187,16
157,43.0,0.0,67.5,66.0,15,1.6,30.0,32.5,1.1696317785840908,0.632895888408169,-0.7575311035781371,270126.098688994,116,17
93,40.5,0.0,68.0,66.0,15,1.6,30.0,32.5,1.1669532685635127,0.6415530647088449,-0.7713369194045917,264791.4593096627,109,16
101,40.5,0.1,67.0,66.0,15,1.6,30.0,32.5,1.1657579021518258,0.6456438341434739,-0.7776330162254854,262442.7504892075,130,16
150,43.0,0.0,67.0,66.0,20,1.4,30.0,32.5,1.1654823554609632,0.6482834605230676,-0.7575311035781366,261904.12288817498,154,17
117,40.5,0.1,68.0,66.0,15,1.6,30.0,32.5,1.1648467503254167,0.6379900153647898,-0.7776330162254855,260665.61980359603,116,16
116,40.5,0.1,68.0,66.0,15,1.4,30.0,32.5,1.1647697289074577,0.6452214587577046,-0.7776330162254856,260515.91413723302,129,16
4,37.5,0.0,67.0,66.0,15,1.4,30.0,32.5,1.1640422542056648,0.6609264391209544,-0.7815854793609468,259105.90269717362,139,13
7,37.5,0.0,67.0,66.0,20,1.6,30.0,32.5,1.162678780024902,0.6536009607199531,-0.7815854793609469,256482.4421938756,135,13
190,43.0,0.1,68.0,66.0,20,1.4,30.0,32.5,1.1603862176814213,0.6390263573587485,-0.7642073350185258,252127.41632672714,142,17
37,37.5,0.1,67.5,66.0,15,1.6,30.0,32.5,1.1599656437392407,0.6466553686636632,-0.7875993884076189,251336.0492168072,123,13
153,43.0,0.0,67.5,65.0,15,1.6,30.0,32.5,1.158841515720122,0.6347479742106025,-0.757531103578137,249232.27115096067,114,17
130,40.5,0.3,67.5,65.0,20,1.4,30.0,32.5,1.1575630507549959,0.6386527293392098,-0.7741176788979385,246859.73538614917,186,16
207,43.0,0.3,67.5,66.0,20,1.6,30.0,32.5,1.1572532833524525,0.6208919877740557,-0.7604797548593617,246288.07583339384,159,17
89,40.5,0.0,68.0,65.0,15,1.6,30.0,32.5,1.1561763267743421,0.6433803369983503,-0.7713369194045921,244310.25771081346,107,16
177,43.0,0.1,67.5,65.0,15,1.6,30.0,32.5,1.1560100426083464,0.6314765586140044,-0.7642073350185262,244006.20993020668,121,17
77,40.5,0.0,67.0,66.0,15,1.6,30.0,32.5,1.15477721223137,0.648285865024065,-0.771336919404592,241763.04691097714,123,16
13,37.5,0.0,67.5,66.0,15,1.6,30.0,32.5,1.1517947674060003,0.6494996543367448,-0.7815854793609469,236416.16592050073,116,13
6,37.5,0.0,67.0,66.0,20,1.4,30.0,32.5,1.1476794575860434,0.6644759774836868,-0.781585479360947,229220.2377797013,154,13
112,40.5,0.1,68.0,65.0,15,1.4,30.0,32.5,1.1468153396683753,0.6464651527667618,-0.7776330162254855,227735.59905144066,127,16
171,43.0,0.1,67.0,65.0,20,1.6,30.0,32.5,1.1445058757226496,0.6368414726000455,-0.7642073350185266,223811.86261050432,141,17
144,43.0,0.0,67.0,65.0,15,1.4,30.0,32.5,1.1431602857537966,0.6466377446012186,-0.7575311035781369,221555.06203407684,135,17
113,40.5,0.1,68.0,65.0,15,1.6,30.0,32.5,1.1431171312088089,0.6394710618990754,-0.7776330162254854,221483.03849008423,114,16
46,37.5,0.1,68.0,66.0,20,1.4,30.0,32.5,1.1426252162552148,0.6554748657273107,-0.7875993884076188,220663.59889214044,142,13
172,43.0,0.1,67.0,66.0,15,1.4,30.0,32.5,1.1424663650226177,0.6407846150520748,-0.7642073350185261,220399.59009918146,147,17
9,37.5,0.0,67.5,65.0,15,1.6,30.0,32.5,1.141093213622172,0.6513045921951863,-0.7815854793609471,218129.7484957531,114,13
164,43.0,0.0,68.0,66.0,15,1.4,30.0,32.5,1.140355068786009,0.6393368384645747,-0.7575311035781371,216918.66383600686,120,17
63,37.5,0.3,67.5,66.0,20,1.6,30.0,32.5,1.139518038455626,0.637808547471445,-0.7842416066647967,215552.969087625,159,13
147,43.0,0.0,67.0,65.0,20,1.6,30.0,32.5,1.1391051994516057,0.6390140097798448,-0.757531103578137,214882.35699257237,134,17
33,37.5,0.1,67.5,65.0,15,1.6,30.0,32.5,1.1382850186620366,0.6481168100735366,-0.7875993884076188,213555.8648070875,121,13
96,40.5,0.1,67.0,65.0,15,1.4,30.0,32.5,1.1367840816537202,0.6535217161244933,-0.7776330162254854,211148.2428069286,141,16
