start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,32.5,0.841626457984306,0.6528004394695313,-0.7919146215329638,19149.7475521174,6,6,0.2705824526910789,0.0014745637748832638
2010-02-12,30.0,33.0,0.841626457984306,0.6528004394695313,-0.7919146215329638,19149.7475521174,6,6,0.2705824526910789,0.0014745637748832638
2010-02-12,30.0,33.5,0.8386432380898119,0.6527587528382122,-0.7919146215329633,18654.965415892693,6,6,0.2718112558368149,0.0014745637748832638
2010-02-12,30.0,34.0,0.8350040127670662,0.6527580046859078,-0.7919146215329633,18067.618118080645,6,6,0.27205701646596214,0.0014745637748832638
2010-02-12,30.0,34.5,0.8375470587797731,0.6529183962208391,-0.7919146215329635,18476.190782980215,6,6,0.2735315802408454,0.0014745637748832638
2010-02-12,30.0,35.0,0.8383296568703249,0.6529571476609219,-0.7919146215329637,18603.658807537624,6,6,0.27525190464487587,0.0014745637748832638
2010-02-12,30.0,35.5,0.8352317999112242,0.6528644136552456,-0.7919146215329638,18103.866496213213,6,6,0.2757434259031703,0.0014745637748832638
2010-02-12,30.0,36.0,0.8274035351684816,0.6526140931804515,-0.7919146215329639,16896.44427427861,6,6,0.27623494716146474,0.0014745637748832638
2010-02-12,30.0,36.5,0.7903294493143245,0.6508769563770914,-0.7919146215329632,12135.684275487678,6,6,0.27869255345293686,0.0014745637748832638
2010-02-12,30.0,37.0,0.7903294493143245,0.6508769563770914,-0.7919146215329632,12135.684275487678,6,6,0.27869255345293686,0.0014745637748832638
2010-02-12,30.0,37.5,0.7945264286111529,0.6509108950890956,-0.7919146215329635,12603.29286986249,6,6,0.27942983534037846,0.0014745637748832638
2010-02-12,30.0,38.0,0.7973780232595389,0.6509067792750661,-0.7919146215329634,12930.590864937967,6,6,0.2796755959695257,0.0014745637748832638
2010-02-12,30.0,38.5,0.7973780232595389,0.6509067792750661,-0.7919146215329634,12930.590864937967,6,6,0.2796755959695257,0.0014745637748832638
2010-02-12,30.0,39.0,0.7973780232595389,0.6509067792750661,-0.7919146215329634,12930.590864937967,6,6,0.2796755959695257,0.0014745637748832638
2010-02-12,30.0,39.5,0.8015255644567065,0.650966902604914,-0.7919146215329638,13420.891855286342,6,6,0.2801671172278201,0.0014745637748832638
2010-02-12,30.0,40.0,0.8015255644567065,0.650966902604914,-0.7919146215329638,13420.891855286342,6,6,0.2801671172278201,0.0014745637748832638
2010-02-12,30.0,40.5,0.8162366824540697,0.6508497682106629,-0.7919146215329638,15304.254617722932,6,6,0.2818874416318506,0.0014745637748832638
2010-02-12,30.0,41.0,0.8264836750621642,0.6503875865698316,-0.7919146215329632,16759.63518949436,6,6,0.2821332022609978,0.0014745637748832638
2010-02-12,30.0,41.5,0.8303970550016648,0.6503261093218365,-0.7919146215329632,17348.952295487994,6,6,0.282378962890145,0.0014745637748832638
2010-02-12,30.0,42.0,0.8352387549032982,0.650399849448877,-0.7919146215329635,18104.97433525364,6,6,0.2828704841484394,0.0014745637748832638
2010-02-12,30.0,42.5,0.8316853549035361,0.6502414284659259,-0.7919146215329635,17547.172792817357,6,6,0.2831162447775866,0.0014745637748832638
2010-02-12,30.0,43.0,0.8316853549035361,0.6502414284659259,-0.7919146215329635,17547.172792817357,6,6,0.2831162447775866,0.0014745637748832638
2010-02-12,30.0,43.5,0.826461095391398,0.6503519503149524,-0.7919146215329638,16756.29006057489,6,6,0.28336200540673384,0.0014745637748832638
2010-02-12,30.0,44.0,0.821823531197406,0.6499695759106535,-0.7919146215329637,16082.36290437976,6,6,0.28532809043991153,0.0014745637748832638
2010-02-12,30.0,44.5,0.8394787537893198,0.6496220555098123,-0.7919146215329633,18792.317104065794,6,6,0.2860653723273532,0.0014745637748832638
2010-02-12,30.0,45.0,0.8394787537893198,0.6496220555098123,-0.7919146215329633,18792.317104065794,6,6,0.2860653723273532,0.0014745637748832638
