Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-04-24,43.52101106594839,False,-0.0176529615237688,-0.045489563258069236,-0.0176529615237688,above,above,4.440535978724091
2012-04-25,45.74801331084025,False,0.0794299396060582,-0.1290744473136663,0.0794299396060582,above,above,4.793247483332674
2012-04-26,53.151683498149595,False,0.0178874225480378,-0.07640429936395358,0.0178874225480378,above,above,4.878986326444365
2012-04-27,56.336244432756835,False,0.0171372352937182,0.003937718979456004,0.0171372352937182,above,above,4.962598663115476
2012-04-30,57.469023967906175,False,-0.0207830339728398,0.05100468666135955,-0.0207830339728398,above,above,4.8594608065063785
2012-05-01,54.99170755746185,False,0.0056784304937298,-0.06668403759315882,0.0056784304937298,above,above,4.887054916933129
2012-05-02,57.83280482428773,False,0.0066000871512787,0.008924523756641498,0.0066000871512787,above,above,4.919309905297974
2012-05-03,56.139374314915706,False,-0.0310612705265688,0.04419488907184239,-0.0310612705265688,above,above,4.766509889525484
2012-05-04,51.19905153017085,False,-0.0733754474986602,0.09708740386201593,-0.0733754474986602,above,above,4.416765093374762
2012-05-07,42.72732662656963,False,0.0014409243524526,-0.030898129909061427,0.0014409243524526,above,above,4.423129317756868
2012-05-08,42.944503292886914,False,-0.0110343037403902,0.016714735628781736,-0.0110343037403902,above,above,4.374323165381714
2012-05-09,40.905110298561674,False,-0.0055312728221239,0.06781350903843904,-0.0055312728221239,above,above,4.3501275905418515
2012-05-10,37.883242067474235,False,-0.0102453166041682,-0.04681649484799282,-0.0102453166041682,above,above,4.305559156108223
2012-05-11,39.67384833462224,False,-0.0009841249316462,0.01868242852620878,-0.0009841249316462,above,above,4.301321947998019
2012-05-14,38.079215189805225,False,-0.0276310026781622,0.12129506450502699,-0.0276310026781622,above,above,4.182472109733248
2012-05-15,33.3581829608316,False,-0.0087271636404283,0.09205662883795358,-0.0087271636404283,above,above,4.145970991210079
2012-05-16,31.226461304523184,False,-0.021704197511462,0.07936011400443595,-0.021704197511462,above,above,4.0559860179400635
2012-05-17,29.670457900453542,False,-0.0615318623676944,0.09233735154322438,-0.0615318623676944,above,above,3.8064136445188828
2012-05-18,25.08915956010931,False,-0.040142844408983,0.15593543690094197,-0.040142844408983,above,above,3.6536133738307313
2012-05-21,23.222324868662113,False,0.0079680709060445,-0.22222772794269036,0.0079680709060445,wait_mix,wait_mix,3.6827256242566873
2012-05-22,34.52628522829826,False,-0.0282513571674664,0.08191254346747008,-0.0282513571674664,above,above,3.578683627296031
2012-05-23,34.8446196819114,False,0.0055918249418387,-0.054982059878631744,0.0055918249418387,above,above,3.598694999662095
2012-05-24,36.01199646517674,False,-0.0179680255116568,0.0040975326531226906,-0.0179680255116568,above,above,3.534033556099495
2012-05-25,37.00407161707226,False,-0.0056624083756208,-0.010262704936230762,-0.0056624083756208,above,above,3.514022414891712
2012-05-29,36.05799371362406,False,0.0372390720521158,-0.10612007014433726,0.0372390720521158,above,above,3.6448813487926146
2012-05-30,43.93764220672972,False,-0.0242868693446426,0.1255660787073291,-0.0242868693446426,above,above,3.5563585916977636
2012-05-31,37.43789434042235,False,-0.0142858442828868,0.014798205370170467,-0.0142858442828868,above,above,3.505553006642663
2012-06-01,36.52694959928352,False,-0.0296834890011288,0.1986528915602323,-0.0296834890011288,wait_mix,wait_mix,3.401495962527111
2012-06-04,28.470299586254484,False,-0.0121021991389813,-0.06723617556723109,-0.0121021991389813,wait_mix,wait_mix,3.360330381018167
2012-06-05,28.5438985398455,False,-0.0179176146053439,-0.06680670111932478,-0.0179176146053439,wait_mix,wait_mix,3.300121276304455
2012-06-06,32.45668978559293,False,-0.0323753378257961,-0.13683199563150833,-0.0323753378257961,wait_mix,wait_mix,3.1932787351180014
2012-06-07,45.47250607545246,False,-0.0431694805944435,-0.023699804990710054,-0.0431694805944435,above,above,3.055426550729676
2012-06-08,45.42795699852569,False,-0.018380008095149,-0.10508783787454794,-0.018380008095149,wait_mix,wait_mix,2.999267785993131
2012-06-11,49.48913515681512,False,-0.0718593647015001,0.12807524858997782,-0.0718593647015001,above,above,2.78374230832199
2012-06-12,43.96456470908589,False,0.0070485727307789,0.003715228344165442,0.0070485727307789,wait_mix,wait_mix,2.803363718445944
2012-06-13,49.498706092572924,False,-0.0053827063541466,0.11669088186960815,-0.0053827063541466,above,above,2.788274034745681
2012-06-14,46.48369958186718,False,-0.0043021624229087,-0.12243055078375913,-0.0043021624229087,wait_mix,wait_mix,2.776278426968626
2012-06-15,51.36199725059813,False,0.0401438790952213,-0.1187489784256273,0.0401438790952213,above,above,2.8877290124755257
2012-06-18,55.57580029491235,False,0.0257816932945655,-0.15097080765572374,0.0257816932945655,above,above,2.9621795561929884
2012-06-19,56.15342843119181,False,0.0328979489303784,-0.05051374292356386,0.0328979489303784,above,above,3.0596291879552364
2012-06-20,59.96744923924665,False,0.0035606274374686,-0.060782927819296666,0.0035606274374686,above,above,3.0705233875903497
2012-06-21,59.00845301891113,False,-0.0749074436256147,0.19438855877034195,-0.0749074436256147,above,above,2.840518330033294
2012-06-22,48.09296992651333,False,0.0311117708938548,-0.2007695583802523,0.0311117708938548,above,above,2.928891885537085
2012-06-25,51.158895468153766,False,-0.059310277806186,0.15526664488508674,-0.059310277806186,above,above,2.7551784941415964
2012-06-26,44.779249835149756,False,0.0122848295166519,-0.05584407638607907,0.0122848295166519,wait_mix,wait_mix,2.789025392230072
2012-06-27,46.879218573334306,False,0.0024873128748599,0.01519695263135907,0.0024873128748599,wait_mix,wait_mix,2.795962570996477
2012-06-28,50.698409744063696,False,-0.0073106133614377,-0.03695201173804335,-0.0073106133614377,above,above,2.7755223696668705
2012-06-29,49.78513040730568,False,0.0976947670924901,-0.1485118712228533,0.0976947670924901,above,above,3.046676381131472
