episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
72,73,2023-12-11,2023-12-29,14,2024-01-02,15,69.4,65.4,0.9482332667959703,0.9482332667959703,-0.09896479815776704,5096,True,0.0,0.0,94.82332667959703,94.82332667959703,-9.896479815776704
73,74,2024-01-23,2024-01-30,6,2024-01-31,7,69.4,65.4,0.9217751621400607,0.9217751621400607,0.16365045030210523,5104,True,0.0,0.0,92.17751621400608,92.17751621400608,16.365045030210524
74,75,2024-02-07,2024-02-12,4,2024-02-13,5,69.4,65.4,0.9153647426584259,0.9153647426584259,0.23871879121181405,5106,True,0.0,0.0,91.5364742658426,91.5364742658426,23.871879121181404
75,76,2024-03-01,2024-03-04,2,2024-03-05,3,69.4,65.4,0.9237161703013648,0.9237161703013648,0.12832089979398975,5108,True,0.0,0.0,92.37161703013648,92.37161703013648,12.832089979398976
76,77,2024-05-21,2024-05-22,2,2024-05-23,3,69.4,65.4,0.9281661600940141,0.9281661600940141,0.07669485351496985,5108,True,0.0,0.0,92.81661600940141,92.81661600940141,7.669485351496985
77,78,2024-06-12,2024-06-27,11,2024-06-28,12,69.4,65.4,0.9341057290612012,0.9341057290612012,0.03573472253390486,5099,True,0.0,0.0,93.41057290612011,93.41057290612011,3.573472253390486
78,79,2024-07-02,2024-07-16,10,2024-07-17,11,69.4,65.4,0.9286067673183065,0.9286067673183065,0.09430055938196658,5100,True,0.0,0.0,92.86067673183065,92.86067673183065,9.430055938196658
79,80,2024-12-04,2024-12-06,3,2024-12-09,4,69.4,65.4,0.9311312328945254,0.9311312328945254,0.046405734582375624,5107,True,0.0,0.0,93.11312328945253,93.11312328945253,4.640573458237562
80,81,2025-05-16,2025-05-20,3,2025-05-21,4,69.4,65.4,0.9233161512492154,0.9233161512492154,0.13603190259503006,5107,True,0.0,0.0,92.33161512492154,92.33161512492154,13.603190259503005
81,82,2025-06-27,2025-07-14,11,2025-07-15,12,69.4,65.4,0.948714142276045,0.948714142276045,-0.11054308689898995,5099,True,0.0,0.0,94.8714142276045,94.8714142276045,-11.054308689898996
82,83,2025-07-21,2025-07-30,8,2025-07-31,9,69.4,65.4,0.9463598503693504,0.9463598503693504,-0.09571632515477413,5102,True,0.0,0.0,94.63598503693504,94.63598503693504,-9.571632515477413
83,84,2025-09-15,2025-09-23,7,2025-09-24,8,69.4,65.4,0.9352373484208063,0.9352373484208063,0.0128781746049218,5103,True,0.0,0.0,93.52373484208063,93.52373484208063,1.28781746049218
84,85,2025-10-06,2025-10-09,4,2025-10-10,5,69.0,68.2,0.9198060563588091,0.911456226844001,0.29106380994824743,5106,False,-0.4000000000000057,2.799999999999997,91.9806056358809,91.1456226844001,29.106380994824743
85,86,2026-04-16,2026-04-17,2,,2,69.4,65.4,0.9383956709834707,0.9383956709834707,-0.035344129441302496,5109,True,0.0,0.0,93.83956709834706,93.83956709834706,-3.5344129441302496
