Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2022-11-16,281.2712881054512,292.73031102536004,True,17.42155481658913,below,below,-0.04050495115985131
2022-11-17,274.8998951294449,292.22709946891814,True,17.42155481658913,below,below,-0.007716962287756757
2022-11-18,281.76056437940645,291.8069400164765,True,17.42155481658913,below,below,-0.0009145246910703397
2022-11-21,277.36622804771093,291.2710950967154,True,17.42155481658913,below,below,-0.03022001508870298
2022-11-22,276.62238289326433,290.7901164517682,True,17.42155481658913,below,below,0.04202070251107992
2022-11-23,279.88141917373144,290.4067689597101,True,17.42155481658913,below,below,0.029904818486638174
2022-11-25,281.0754284107338,290.022951343186,True,17.42155481658913,below,below,-0.02067730572657589
2022-11-28,278.83423237314076,289.636208081513,True,17.42155481658913,below,below,-0.044025205755317764
2022-11-29,276.91600224715586,289.2760692713995,True,17.42155481658913,below,below,-0.023966074305828422
2022-11-30,274.8607064926113,288.9107601414394,True,17.42155481658913,below,below,0.13432816304679962
2022-12-01,287.437101100991,288.67308395936533,True,17.42155481658913,below,below,0.005517984113874608
2022-12-02,282.39677681264686,288.3757719197458,True,17.42155481658913,below,below,-0.011819454139565422
2022-12-05,284.19761464913205,288.112476146092,True,17.42155481658913,below,below,-0.050405558236927495
2022-12-06,281.3593315737775,287.74401837864104,True,17.42155481658913,below,below,-0.0634280207873601
2022-12-07,274.498530822481,287.34473864707775,True,17.42155481658913,below,below,-0.012007716567591142
2022-12-08,275.90791188562,287.0331378854118,True,17.42155481658913,below,below,0.03548850329220721
2022-12-09,276.7887821964481,286.7918671255137,True,17.42155481658913,below,below,-0.019248856485938104
2022-12-12,276.2113073349363,286.5049363362792,True,17.42155481658913,below,below,0.03638117869241264
2022-12-13,290.33409921539373,286.40734830152326,False,,above,below,0.03140890311240718
2022-12-14,281.91725580250164,286.18998244059304,True,10.606708541571226,wait_mix,above,0.0013339617351455502
2022-12-15,276.31893160733205,285.9085825445002,True,10.606708541571226,wait_mix,wait_mix,-0.0026160432807190714
2022-12-16,270.3195057192116,285.65578099506513,True,10.606708541571226,wait_mix,wait_mix,-0.012049536919067072
2022-12-19,268.68081660488616,285.38221254320314,True,10.606708541571226,below,wait_mix,-0.0615456886220247
2022-12-20,263.4714800510181,285.0606798092483,True,10.606708541571226,below,below,-0.004378652680044781
2022-12-21,265.4727330170994,284.7172300368317,True,10.606708541571226,below,below,0.043430400226240895
2022-12-22,265.25694062467517,284.4850622044352,True,10.606708541571226,below,below,-0.07107294195628888
2022-12-23,260.4399248385618,284.2059703745098,True,10.606708541571226,below,below,0.002850730844524918
2022-12-27,261.68585239978523,284.04219045857167,True,10.606708541571226,below,below,-0.042637828006423684
