feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
UVIX_PREV_CLOSE_RET_5D,>=,-0.09903557026526044,97,49,13,36,0.2653061224489796,5.3014529369727175,48,0.6041666666666666,1.9384173352217224,0.40625,0.5538461538461539,1.6208808353639117
^VIX_PREV_CLOSE_RET_5D,>=,-0.06315112050245439,97,58,17,41,0.29310344827586204,4.5879853163981,39,0.6153846153846154,2.2233866064414363,0.53125,0.6307692307692307,1.6196573939825494
HYG_PREV_CLOSE_RET_20D,<=,0.013215524622444966,97,68,21,47,0.3088235294117647,3.774024881573963,29,0.6206896551724138,3.3166046225957344,0.65625,0.7230769230769231,1.6136458029818694
IWM_SPY_PREV_CLOSE_RET_20D,<=,0.026781751721515517,97,77,25,52,0.3246753246753247,3.869114624987616,20,0.65,2.74466999391297,0.78125,0.8,1.6119088243709736
IWM_PREV_CLOSE_SMA20_RATIO,<=,0.03072166098767774,97,68,21,47,0.3088235294117647,3.8016786317841604,29,0.6206896551724138,3.2517613462407904,0.65625,0.7230769230769231,1.6104036391641223
HYG_TLT_PREV_CLOSE_RATIO_SMA20,<=,0.016267872953455685,97,68,21,47,0.3088235294117647,3.850473048535351,29,0.6206896551724138,3.137346851789724,0.65625,0.7230769230769231,1.604682914441569
^VIX_PREV_CLOSE_SMA20_RATIO,>=,-0.1147959636235582,97,77,25,52,0.3246753246753247,3.9148372819785755,20,0.65,2.5686377644977747,0.78125,0.8,1.6031072129002133
GLD_PREV_CLOSE_RET_20D,>=,0.002186117362495299,97,49,13,36,0.2653061224489796,5.650312345826957,48,0.6041666666666666,1.582290022016352,0.40625,0.5538461538461539,1.6030744697036432
UVIX_PREV_CLOSE_RET_20D,<=,-0.22787888266578113,97,68,22,46,0.3235294117647059,5.03858003272487,29,0.6551724137931034,0.3514408198970563,0.6875,0.7076923076923077,1.598926386446561
UUP_PREV_CLOSE_RET_5D,>=,-0.0026754025908592534,97,58,17,41,0.29310344827586204,4.882116671703938,39,0.6153846153846154,1.7859604882942932,0.53125,0.6307692307692307,1.5977860880751922
QQQ_PREV_CLOSE_RET_5D,>=,0.005771324237090571,97,77,25,52,0.3246753246753247,3.9454312102171976,20,0.65,2.4508511407790796,0.78125,0.8,1.5972178817142788
