seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
71,1.676982631207827,40.5,0.7,66.5,56.5,14.0,1.1,30.0,37.0,
,1.676982631207827,40.5,0.7,66.5,56.0,14.0,1.1,30.0,37.0,local
,1.676982631207827,40.5,0.7,66.5,58.0,14.0,1.1,30.0,37.0,local
,1.676982631207827,40.5,0.7,66.5,57.5,14.0,1.1,29.5,37.0,local
,1.676982631207827,40.5,0.7,66.5,55.5,14.0,1.1,29.5,37.0,local
,1.676982631207827,40.5,0.7,66.5,57.5,14.0,1.1,30.0,37.0,local
29,1.6766536231035176,40.5,0.7,66.5,58.5,14.0,1.1,30.0,39.0,
29,1.6766536231035176,40.5,0.7,66.5,56.5,14.0,1.1,30.0,39.0,
29,1.6766536231035176,40.5,0.7,66.5,57.0,14.0,1.1,30.0,39.0,
71,1.6766536231035176,40.5,0.7,66.5,56.0,14.0,1.1,29.5,39.0,
71,1.6766536231035176,40.5,0.7,66.5,58.0,14.0,1.1,30.0,39.0,
71,1.6766536231035176,40.5,0.7,66.5,57.0,14.0,1.1,29.5,39.0,
71,1.6766536231035176,40.5,0.7,66.5,57.5,14.0,1.1,30.0,39.0,
71,1.6766536231035176,40.5,0.7,66.5,55.5,14.0,1.1,29.5,39.0,
,1.6766536231035176,40.5,0.7,66.5,56.0,14.0,1.1,30.0,39.0,local
,1.6766536231035176,40.5,0.7,66.5,57.5,14.0,1.1,29.5,39.0,local
71,1.6734850095476728,40.5,0.7,66.5,54.5,14.0,1.1,30.0,37.0,
47,1.6710549749977446,40.5,0.7,66.5,58.0,14.0,1.1,30.5,38.0,
71,1.6710549749977446,40.5,0.7,66.5,57.5,14.0,1.1,30.5,38.0,
97,1.6710549749977446,40.5,0.7,66.5,56.5,14.0,1.1,30.5,38.0,
,1.6710549749977446,40.5,0.7,66.5,57.0,14.0,1.1,30.5,38.0,local
,1.6710549749977446,40.5,0.7,66.5,58.5,14.0,1.1,30.5,38.0,local
,1.6710549749977446,40.5,0.7,66.5,56.0,14.0,1.1,30.5,38.0,local
,1.6710549749977446,40.5,0.7,66.5,55.5,14.0,1.1,30.5,38.0,local
11,1.6708524509919607,40.5,0.7,66.5,58.0,14.0,1.1,30.5,37.5,
29,1.6708524509919607,40.5,0.7,66.5,57.0,14.0,1.1,30.5,37.5,
29,1.6708524509919607,40.5,0.7,66.5,56.5,14.0,1.1,30.5,37.5,
71,1.6708524509919607,40.5,0.7,66.5,55.5,14.0,1.1,30.5,37.5,
71,1.6708524509919607,40.5,0.7,66.5,57.5,14.0,1.1,30.5,37.5,
97,1.669410560096214,40.5,0.7,66.5,56.5,14.0,1.1,30.5,34.5,
11,1.6682080512759687,40.5,0.7,66.5,58.0,14.0,1.1,30.0,39.5,
29,1.6682080512759687,40.5,0.7,66.5,57.5,14.0,1.1,30.0,39.5,
47,1.6682080512759687,40.5,0.7,66.5,56.5,14.0,1.1,29.5,39.5,
71,1.6682080512759687,40.5,0.7,66.5,58.5,14.0,1.1,30.0,39.5,
71,1.6682080512759687,40.5,0.7,66.5,56.0,14.0,1.1,30.0,39.5,
47,1.6680874415681246,40.5,0.7,66.5,55.5,14.0,1.1,29.5,34.5,
71,1.667362838741675,40.5,0.7,66.5,55.0,14.0,1.1,30.5,37.5,
11,1.6664711306135205,40.5,0.7,66.5,57.5,14.0,1.1,30.5,38.5,
11,1.6664711306135205,40.5,0.7,66.5,56.0,14.0,1.1,30.5,38.5,
29,1.6647218940760133,40.5,0.7,66.5,55.0,14.0,1.1,30.0,39.5,
29,1.6647218940760133,40.5,0.7,66.5,54.5,14.0,1.1,30.0,39.5,
11,1.6636553964457232,40.5,0.8,66.0,59.5,14.0,1.1,30.0,38.0,
11,1.6636553964457232,40.5,0.8,66.0,59.0,14.0,1.1,30.0,38.0,
11,1.6636553964457232,40.5,0.8,66.0,56.5,14.0,1.1,29.5,38.0,
11,1.6636553964457232,40.5,0.8,66.0,58.5,14.0,1.1,29.5,38.0,
29,1.6636553964457232,40.5,0.8,66.0,60.0,14.0,1.1,30.0,38.0,
29,1.6636553964457232,40.5,0.8,66.0,58.0,14.0,1.1,30.0,38.0,
29,1.6636553964457232,40.5,0.8,66.0,57.0,14.0,1.1,30.0,38.0,
47,1.6636553964457232,40.5,0.8,66.0,60.0,14.0,1.1,29.5,38.0,
71,1.6636553964457232,40.5,0.8,66.0,58.5,14.0,1.1,30.0,38.0,
71,1.6636553964457232,40.5,0.8,66.0,59.5,14.0,1.1,29.5,38.0,
97,1.6636553964457232,40.5,0.8,66.0,57.5,14.0,1.1,30.0,38.0,
131,1.6636553964457232,40.5,0.8,66.0,56.0,14.0,1.1,29.5,38.0,
11,1.6635932190916778,40.0,0.7,66.5,58.0,14.0,1.1,30.0,38.0,
29,1.6635932190916778,39.5,0.7,66.5,57.0,14.0,1.1,30.0,38.0,
29,1.6635932190916778,39.0,0.7,66.5,57.5,14.0,1.1,30.0,38.0,
29,1.6635932190916778,39.0,0.7,66.5,56.5,14.0,1.1,29.5,38.0,
29,1.6635932190916778,39.5,0.7,66.5,58.0,14.0,1.1,29.5,38.0,
